Company Name,Stated Target Description,Stated Target Year,Stated Net-Zero Year,Target Classification,Source URL,Confidence,Notes
Goodman Group,Reduce absolute Scope 1 and 2 emissions 42% by 2030 from FY2021 baseline and achieve net zero by 2050.,2030.0,2050.0,SBTi committed,https://www.goodman.com/global/investor-centre/reports,High,SBTi-approved near-term and net-zero targets.
GrainCorp Limited,Reduce Scope 1 and 2 emissions 42% by 2030 from FY2019 baseline and progress Scope 3 measurement and reduction.,2030.0,2050.0,SBTi committed,https://www.graincorp.com.au/investors/reports-and-presentations/,Medium,SBTi commitment referenced; validation status unclear.
Investa Office Management Pty Limited,Targeting net zero carbon across managed portfolio operations and development activities.,2040.0,2040.0,Net-zero only,https://www.investa.com.au/about-us/sustainability,Medium,No validated SBTi target identified.
Iress Limited,Targeting operational emissions reductions and renewable electricity sourcing; no quantified SBTi target identified.,,2050.0,Aspirational,https://www.iress.com/about/investors/reports/,Low,No active SBTi validation found.
Lendlease,Reduce absolute Scope 1 and 2 emissions 42% and Scope 3 emissions 25% by FY2030 from FY2020 baseline.,2030.0,2040.0,SBTi committed,https://www.lendlease.com/au/investors/reports-and-presentations/,High,SBTi-validated near-term and net-zero targets.
Mirvac Group,Reduce absolute Scope 1 and 2 emissions 42% by 2030 from FY2020 baseline and pursue net zero by 2050.,2030.0,2050.0,SBTi committed,https://www.mirvac.com/about/investors/reports,High,SBTi-approved targets publicly disclosed.
MoneyMe Limited,No public climate target identified in FY24/FY25 reporting.,,,No public target,https://investors.moneyme.com.au/investors/?page=reports,Low,No SBTi status identified.
Origin Energy,"Reduce Scope 1, 2 and 3 emissions 60% by 2035 from FY2017 baseline and achieve net zero by 2050.",2035.0,2050.0,Quantitative non-validated,https://www.originenergy.com.au/about/investors-media/reports/,High,Transition targets publicly disclosed; no current SBTi validation identified.
Pro-Pac Packaging Limited,No public climate target identified in FY24/FY25 disclosures.,,,No public target,https://www.propac.com.au/investor-centre/,Low,No evidence of SBTi target or commitment.
Ramsay Health Care Limited,Reduce Scope 1 and 2 emissions 42% by 2030 from FY2020 baseline and pursue net zero by 2040.,2030.0,2040.0,SBTi committed,https://www.ramsayhealth.com/en/about/sustainability/,High,SBTi-approved near-term and net-zero targets.
SunRice (listed as RiceGrowers Limited),Targeting emissions intensity reductions across operations and supply chain; no validated SBTi target identified.,2030.0,2050.0,Aspirational,https://www.sunrice.com.au/investors/reports/,Medium,Net-zero ambition disclosed but SBTi validation not identified.
TPG Telecom Limited,Reduce Scope 1 and 2 emissions 50% by 2030 from FY2021 baseline and achieve net zero by 2050.,2030.0,2050.0,Quantitative non-validated,https://www.tpgtelecom.com.au/about-us/sustainability,Medium,No active SBTi validation identified.
Telstra Group Limited,Reduce absolute Scope 1 and 2 emissions 100% by 2025 and reduce value chain emissions intensity by 2030.,2030.0,2050.0,SBTi committed,https://www.telstra.com.au/aboutus/investors/reports,High,SBTi-approved targets and net-zero ambition publicly disclosed.
Transurban Group,Reduce operational emissions and achieve net zero emissions across operations by 2040.,2040.0,2040.0,Net-zero only,https://www.transurban.com/sustainability/reporting-centre,Medium,No current SBTi validation identified.
Ventia Services Group Limited,Reduce Scope 1 and 2 emissions 50% by 2030 from FY2021 baseline and achieve net zero by 2050.,2030.0,2050.0,Quantitative non-validated,https://www.ventia.com/page/sustainability,Medium,Public target disclosed; SBTi validation not confirmed.
Woolworths Group Limited,Reduce Scope 1 and 2 emissions 63% and Scope 3 FLAG and non-FLAG emissions in line with SBTi pathways by 2030 from FY2015 baseline.,2030.0,2050.0,SBTi committed,https://www.woolworthsgroup.com.au/au/en/sustainability/reports.html,High,SBTi-approved near-term and net-zero targets.
Xero,"Reduce absolute Scope 1, 2 and 3 emissions 42% by FY2030 from FY2022 baseline and achieve net zero by 2040.",2030.0,2040.0,SBTi committed,https://www.xero.com/nz/about/investors/annual-reports/,High,SBTi-validated near-term and net-zero targets publicly disclosed.
APOG Topco Pty Ltd,Reduce absolute Scope 1 and 2 GHG emissions 42% by FY2030 from a FY2023 base year; 73% of suppliers by emissions (purchased goods and services) to have SBTs by FY2028.,2030.0,,SBTi committed,https://icongroup.global/en/news/2025-02-11/care-for-planet-icon-group-science-based-targets-affirmed/,High,APOG Topco is the parent entity of Icon Group; near-term targets validated by SBTi (Feb 2025). No long-term net-zero target disclosed yet.
Accolade Wines,"Following the merger of Accolade Wines and Pernod Ricard Winemakers into Vinarchy, the previous SBTi-aligned targets are being recalculated; new Scope 1, 2 and 3 baseline and targets to be submitted to SBTi within 18 months of the merger.",,,Quantitative non-validated,https://vinarchy.com/pages/sustainability,Medium,Accolade absorbed into Vinarchy (2025). Original SBTi targets effectively paused; new submission pending. Check SBTi dashboard for current status.
Airmaster Corporation Pty Ltd,No public target.,,,No public target,https://www.airmaster.com.au/who-we-are,Low,Private HVAC services company. No publicly disclosed quantitative emissions reduction target or SBTi listing found in FY24/FY25 sources.
Allens,"Reduce firm-wide Scope 1, 2 and 3 GHG emissions 50% by FY2030 from a FY2019 base year.",2030.0,,SBTi committed,https://www.allens.com.au/about/impact/taking-climate-action,High,SBTi-validated near-term target (approved Aug 2022). Climate Active certified carbon neutral since 2014. Long-term net-zero year not publicly stated.
Alsco Uniforms,"'Big Bold' 2030 goals including improved energy efficiency, packaging recyclability, textile diversion; transition away from coal in NZ operations by 2030.",2030.0,,Aspirational,https://www.alsco.com.au/sustainability/,Low,No quantitative absolute GHG reduction target disclosed. No SBTi commitment found.
Ausgrid Group,17% reduction in all carbon emissions (Scope 1+2 incl. line losses) by 2030 against 2018-19 baseline; 8-25% reduction by 2024 and 38-100% by 2030 across operational and network emissions.,2030.0,,Quantitative non-validated,https://www.ausgrid.com.au/About-Us/Sustainability/Environmental-Sustainability/Climate-change,Medium,Targets in Sustainability Report and TCFD Report. Not stated as SBTi-validated.
Australian Broadcasting Corporation,No public quantitative target verified.,,,No public target,https://about.abc.net.au/,Low,ABC began measuring carbon emissions FY21. No public quantitative emissions reduction target or SBTi validation explicitly disclosed in FY24/FY25 sources; APS Net Zero 2030 may apply at whole-of-government level.
Australian Postal Corporation,Under the 2030 Sustainability Framework: reduce Scope 1 emissions by a further 8% by 2030 from a 2025 baseline (after 20% Scope 1+2+3 reduction vs FY19 achieved in FY25); 100% renewable electricity sustained; net-zero by 2050.,2030.0,2050.0,SBTi committed,https://auspost.com.au/about-us/sustainability/targeting-net-zero,High,Original 15% Scope 1+2+3 by 2025 from FY19 baseline was SBTi-validated (2021). New 2030 Framework (released Mar 2026) sets fresh targets; SBTi validation of new targets not confirmed.
B2R Local No.1 Pty Ltd,Net zero operational emissions across Local build-to-rent assets; embodied carbon reduction; 7.5-Star NatHERS rating across portfolio.,,,Aspirational,https://architectureanddesign.com.au/news/new-build-to-rent-platform-targets-impact-housing,Low,B2R Local No.1 is a project SPV of the Local BTR platform (Macquarie Asset Management-backed). Group-level targets described qualitatively.
BAI Communications Pty Ltd,Reduce absolute Scope 1 and 2 emissions 65% by 2030 from a 2010 base year; achieve net zero emissions by 2040.,2030.0,2040.0,Quantitative non-validated,https://www.technologydecisions.com.au/content/it-management/news/bai-announces-20m-sustainability-program-559583950,Medium,Australian entity targets (BAI Australia continued post-Boldyn rebrand of Northern Hemisphere operations). Boldyn Networks (NH) separately targets net zero S1+2 by 2040.
BDO Group Holdings Limited,Halve Scope 1 and 2 (market-based) GHG emissions by 2030; net-zero across value chain by 2050 (BDO Global network-wide commitment validated by SBTi).,2030.0,2050.0,SBTi committed,https://www.bdo.co.uk/en-gb/about/our-sustainability-and-esg-commitments,Medium,BDO Global SBTi target applies across member firms; BDO Australia required to submit firm-level targets and TCFD-aligned climate report under network policy. Australia-specific quantitative target not separately published.
BIC Consolidated,No public quantitative target verified.,,,No public target,https://www.bicconsolidated.au/about,Low,Merger of BIC Services and Consolidated Property Services in 2024. ISO 14001 certified and Gold EcoVadis rated but no public quantitative GHG reduction target or SBTi commitment located in FY24/FY25 sources.
Baiada Pty Ltd,No public quantitative target verified.,,,No public target,https://www.baiada.com.au/our-journey/,Low,Private poultry producer. Reports some renewable energy and biogas initiatives but no publicly disclosed absolute GHG reduction target or net-zero year.
Bank Australia,Reduce financed emissions (residential mortgages) 64% per square metre by 2030 from a 2021 base year; reduce operational Scope 1 and 2 emissions in line with 1.5°C pathway; net-zero across operations and portfolio by 2035.,2030.0,2035.0,SBTi committed,https://www.bankaust.com.au/about-us/why-us/climate,High,First Australian financial institution with SBTi-validated near-term target (Mar 2023). Note: target pre-dates merger with Qudos Bank; targets being recalculated for combined entity.
Bundaberg Sugar Ltd,No public quantitative target verified.,,,No public target,https://www.bundabergsugar.com.au/,Low,Private sugar producer. No publicly disclosed quantitative emissions reduction target or SBTi listing found in FY24/FY25 sources.
CURA Day Hospitals Group Pty Ltd,No public quantitative target verified.,,,No public target,https://www.curadayhospitals.com.au/,Low,Private day hospital network. No publicly disclosed quantitative emissions reduction target or SBTi listing found.
CyberCX Pty Ltd,No public quantitative target verified.,,,No public target,https://cybercx.com.au/,Low,Private cybersecurity services provider. No publicly disclosed quantitative emissions reduction target or SBTi commitment found.
Campus Living Villages,"2030 Sustainability Strategy with targets across environmental, social and governance pillars; GRESB-rated; no absolute group-level GHG reduction figure publicly disclosed.",2030.0,,Aspirational,https://campuslivingvillages.com/about/sustainability/,Low,Strategy references KPIs and SDG-aligned priorities but specific quantitative absolute GHG reduction target and base year not publicly disclosed.
Cement Australia Pty Ltd,"Net zero emissions by 2050; alternative fuels, low-carbon products (e.g. GreenCem) and energy efficiency under parent Heidelberg Materials' SBTi-validated targets (15% Scope 1 reduction per tonne cementitious material by 2030 from 2019 baseline).",2030.0,2050.0,SBTi committed,https://cementaustralia.com.au/low-carbon-processes,Medium,Cement Australia is a JV between Heidelberg Materials Australia and Holcim Australia. Group-level SBTi targets apply at Heidelberg Materials parent level.
Cirka,No public quantitative target verified.,,,No public target,https://cirka.com.au/environmental/,Low,Private facility services provider with ISO 14001 certification. No publicly disclosed quantitative emissions reduction target found.
Compnow,No public quantitative target verified.,,,No public target,https://www.compnow.com.au/,Low,Private IT services provider. No publicly disclosed quantitative emissions reduction target or SBTi listing found.
Consolidated Property Services (Australia) Pty Ltd,No public quantitative target verified.,,,No public target,https://www.bicconsolidated.au/about,Low,Merged with BIC Services in 2024 to form BIC Consolidated. No publicly disclosed quantitative emissions reduction target or SBTi listing found for either pre-merger entity.
Culture Amp,"Reduce emissions across operations and supply chain in line with science-based targets; net zero across Scopes 1, 2 and 3 by 2040.",,2040.0,SBTi committed,https://www.cultureamp.com/blog/launching-our-net-zero-plan,High,Tech Zero member; Net Zero Plan launched April 2024. Near-term science-based targets submitted to SBTi for validation; specific near-term percentage reduction not publicly disclosed.
Edge Environment Pty Ltd,Maintain Scope 2 emissions close to zero through renewable electricity; reduce Scope 3 emissions from purchased goods and services 28% and business travel 13% by 2027 from a 2017 base year.,2027.0,,SBTi committed,https://sciencebasedtargets.org/companies-taking-action/case-studies/edge,High,"SBTi-validated targets (originally 2017, updated to 1.5°C alignment in 2019). Sustainability consultancy and B Corp; small-organisation SBTi case study."
Erilyan Group Pty Ltd,No public quantitative target verified.,,,No public target,https://erilyan.com.au/,Low,Private construction/fit-out group. No publicly disclosed quantitative emissions reduction target or SBTi listing found.
FDC Group Holdings Pty Ltd,No public quantitative target verified.,,,No public target,https://www.fdcbuilding.com.au/,Low,Private construction group. References sustainability commitments and Green Star delivery on client projects but no publicly disclosed corporate-wide quantitative GHG reduction target.
Frasers Property Australia,"Decarbonise in line with SBTi 1.5°C pathway across Scopes 1, 2 and 3; net-zero carbon by 2028.",2028.0,2028.0,SBTi committed,https://www.frasersproperty.com.au/media-centre/news/2019/06/14/science-based-targets-approved,High,"SBTi-validated targets (initially approved 2019, updated to 1.5°C alignment). WorldGBC Net Zero Carbon Buildings Commitment signatory. Climate Active certified for sixth consecutive year."
Fitness Passport,No public quantitative target verified.,,,No public target,https://www.fitnesspassport.com.au/,Low,Private corporate fitness program operator. No publicly disclosed quantitative emissions reduction target or SBTi listing found.
Frasers Property Industrial,"Align operations in Australia and Europe with SBTi 1.5°C pathway across Scopes 1, 2 and 3; net-zero carbon by 2030.",2030.0,2030.0,SBTi committed,https://www.frasersproperty.com/press-releases/2021/january/frasers-property-commits-to-net-zero-carbon-by-2050,High,Sub-target of Frasers Property Limited Group's 2050 net-zero commitment. SBTi-aligned 1.5°C decarbonisation pathway across Australian and European industrial portfolio.
GHD Group Limited,"Reduce Scope 1, 2 and 3 emissions in line with SBTi 1.5°C-aligned pathway; net zero emissions by 2050; achieved 2.4% reduction vs 2023 baseline as of FY24.",2050.0,2050.0,SBTi committed,https://ghd-p-001.sitecorecontenthub.cloud/api/public/content/GHD-Carbon-Reduction-Plan,High,Committed to SBTi Net-Zero Standard in April 2023; currently 'Net Zero Committed' status pending validation. Carbon Reduction Plan (Jul 2025) sets out interim pathway.
GeelongPort,Reduce Scope 1 and 2 GHG emissions 50% by 2030 from a 2018 base year and measure/reduce Scope 3 emissions; 100% renewable electricity sourced via PPA; new SBTi-validated near-term targets being submitted (90% reduction by 2027 against 2018 baseline; 67% of Scope 3 by emissions with SBTs by 2030); aspirational net zero alignment with 1.5°C by 2050.,2030.0,2050.0,SBTi committed,https://geelongport.com.au/sustainability/sustainability-reporting/,High,"Original SBTi SME-route target validated (50% by 2030). Achieved 91% Scope 1+2 reduction by FY24 (largely via 10-year PPA). Updated, more ambitious 2027 targets in submission per FY24 Sustainability Report."
Glad Group,No public quantitative target verified.,,,No public target,https://www.gladgroup.com.au/,Low,Private cleaning and security services provider. No publicly disclosed quantitative emissions reduction target or SBTi commitment found.
Great Southern Bank,Reduce absolute Scope 1 and 2 GHG emissions 42% by FY2030 from a FY2022 base year; near-term financed emissions (Scope 3 Category 15) targets aligned with SBTi; 100% renewable electricity by 2030; net zero across operations and lending by 2040.,2030.0,2040.0,SBTi committed,https://www.greatsouthernbank.com.au/about/sustainability/environment/climate-change,High,SBTi-validated near-term targets. 2025-28 Climate Transition Plan released July 2025 building on previous Climate Action Plan. Climate Active certified.
Grosvenor Engineering Group Pty Ltd,No public quantitative target verified.,,,No public target,https://www.grosvenoreng.com.au/,Low,Private mechanical services/facilities engineering provider. No publicly disclosed quantitative emissions reduction target or SBTi commitment found.
HSK Ward Group Pty Ltd,No public quantitative target verified.,,,No public target,https://hskward.com.au/,Low,Private accounting/advisory firm. No publicly disclosed quantitative emissions reduction target or SBTi commitment found.
Hall & Wilcox,No public quantitative target verified.,,,No public target,https://hallandwilcox.com.au/,Low,Mid-tier law firm. Publishes ESG content for clients but no publicly disclosed firm-wide quantitative GHG reduction target or SBTi listing located in FY24/FY25 sources.
IPEC Pty Ltd (Team Global Express),"ESG framework targeting reduction in transport-related emissions through fleet electrification, low-carbon fuels and renewable energy adoption; no public absolute reduction percentage, base year or net-zero year disclosed.",,,Aspirational,https://teamglobalexp.com/sustainability,Low,"Team Global Express FY23 Sustainability Review describes ESG framework and decarbonisation initiatives but does not publicly disclose a quantitative absolute GHG reduction target, base year, or SBTi commitment."
