NGER Reporting Entity,Parent / Owner,Stated Target Description,Stated Target Year,Stated Net-Zero Year,Target Classification,Source URL,Confidence,Notes
Virgin Australia Holdings Limited,Bain Capital,Net zero ops 2050; 25% efficiency improvement by 2030; SAF off-take agreements,2030,2050,Quantitative non-validated,https://www.virginaustralia.com/au/en/our-company/sustainability/,Medium,Recently re-listed
Visy Industries Holdings Pty Limited,Pratt Family (private),Net zero ops 2050 ambition; 100% renewable electricity ambition,,2050,Aspirational,https://www.visy.com.au/sustainability,Low,Australia's largest private packaging
Bluescope Steel (Avi) Pty Ltd,BlueScope Steel Ltd (in cohort already),Subsidiary; 12% S1+S2 intensity by 2030; H-DR pilot at Port Kembla,2030,2050,Quantitative non-validated,https://www.bluescope.com/sustainability,High,Should match BSL parent
Sydney Water Corporation,NSW Government,Net zero S1+S2 by 2030; 100% renewable electricity; biogas capture,2030,2050,Quantitative non-validated,https://www.sydneywater.com.au/our-environment/sustainability,High,NSW government utility
Aurizon Operations Limited,Aurizon Holdings (in cohort),Same as Aurizon parent: net zero S1+S2 by 2050; 100% renewable electricity ambition,,2050,Net-zero only,https://www.aurizon.com.au/sustainability,High,Should match Aurizon parent
Western Power Networks,WA Government,Net zero 2050; renewable electricity transition,,2050,Quantitative non-validated,https://www.westernpower.com.au/sustainability,Medium,WA government distribution network
Australian Gas Networks Limited,CK Infrastructure (HK),Net zero ops 2050; renewable gas (biomethane / hydrogen) blending,2030,2050,Quantitative non-validated,https://www.agn.com.au/sustainability,Medium,Gas distribution
Ausnet Services Holdings Pty Ltd,Brookfield Asset Management,Net zero ops 2030 (achieved Scope 2); transmission decarbonisation,2030,2050,Quantitative non-validated,https://www.ausnetservices.com.au/sustainability,Medium,Brookfield-owned (was ASX-listed)
Ausgrid Operator Partnership,IFM / AustralianSuper / others,Net zero ops 2030 ambition; networks decarbonisation,2030,2050,Quantitative non-validated,https://www.ausgrid.com.au/sustainability,Medium,NSW super-fund-owned distributor
Endeavour Energy,NSW Government,Net zero ops by 2030; 100% renewable electricity by 2025,2030,2050,Quantitative non-validated,https://www.endeavourenergy.com.au/sustainability,Medium,NSW gov distribution
Sun Cable,Quinbrook / Mike Cannon-Brookes,Australia-Asia Power Link; 100% solar+storage; 4-6 GW capacity,2030,,Quantitative non-validated,https://suncable.energy/sustainability,Medium,Pure-play renewable developer
The Star Entertainment Group Limited,Listed (ASX:SGR),Net zero ops by 2030; 100% renewable electricity by 2030,2030,2050,Quantitative non-validated,https://www.starentertainmentgroup.com.au/sustainability,Medium,Casino operator
Mmg Limited,China Minmetals (parent listed in HK),Net zero ops 2050; ~30% reduction by 2030,2030,2050,Quantitative non-validated,https://www.mmg.com/sustainability,Medium,"Rosebery, Dugald River"
Roy Hill Holdings Pty Ltd,Hancock Prospecting (Gina Rinehart),Net zero ambition; renewable + hydrogen pilots; private — limited disclosure,,2050,Aspirational,https://www.royhill.com.au/sustainability,Low,Iron ore
Ok Tedi Mining Limited,PNG Government,Limited public climate disclosure,,,No public target,,Low,PNG copper/gold
Atlas Iron Pty Ltd,Hancock Prospecting,Net zero ambition under Hancock framework,,2050,Aspirational,,Low,Iron ore
Iluka Resources Limited,Listed (ASX:ILU),Net zero S1+S2 by 2050; rare earths refinery decarb at Eneabba,,2050,Net-zero only,https://www.iluka.com/sustainability,Medium,Mineral sands
Holcim (Australia) Pty Ltd,Holcim (Switzerland),SBTi-validated 1.5°C aligned; -50% emissions by 2050,2030,2050,SBTi committed,https://www.holcim.com.au/sustainability,High,SBTi-validated globally
Heidelberg Materials Australia,Heidelberg Materials (Germany),SBTi-validated; net zero 2050; CCS pilots,2030,2050,SBTi committed,https://www.heidelbergmaterials.com.au/sustainability,High,SBTi-validated globally
Dyno Nobel Asia Pacific Pty Limited,Dyno Nobel Limited,Recently demerged from Incitec Pivot; targets in development,,2050,Aspirational,https://www.dynonobel.com/sustainability,Medium,Mining services explosives
Manildra Group,Honan Family (private),Limited public climate disclosure,,,No public target,,Low,Largest flour miller / starch / ethanol
Tassal Group Pty Ltd,Cooke Inc (Canada),Net zero ops 2050 ambition under Cooke; aquaculture decarbonisation,,2050,Aspirational,https://www.tassal.com.au/sustainability,Medium,Aquaculture; was ASX:TGR
Costa Group Holdings Pty Ltd,Paine Schwartz Partners (private),Net zero ambition; limited published targets,,2050,Aspirational,https://www.costagroup.com.au/sustainability,Medium,Recently delisted
Toll Group,Japan Post,Net zero ops 2050 ambition under Japan Post,,2050,Aspirational,https://www.tollgroup.com/sustainability,Low,Logistics
Esso Australia Pty Ltd,ExxonMobil,Same as ExxonMobil parent,2030,2050,Quantitative non-validated,https://corporate.exxonmobil.com/sustainability-and-reports,High,ExxonMobil subsidiary
Mitsui E&P Australia Pty Ltd,Mitsui & Co (Japan),Parent: net zero 2050; 30% S1+S2 reduction by 2030,2030,2050,Quantitative non-validated,https://www.mitsui.com/jp/en/sustainability/,Medium,Japanese trading house
Eni Australia B.V.,Eni S.p.A. (Italy),Parent: net zero 2050 (S1+S2+S3); SBTi-validated 1.5°C,2030,2050,SBTi committed,https://www.eni.com/en-IT/sustainability,High,Italian O&G
Total Holdings Australia Pty Ltd,TotalEnergies (France),Parent: net zero 2050; 40% S1+S2 by 2030 from 2015; SBTi committed,2030,2050,SBTi committed,https://totalenergies.com/sustainability,High,French O&G major
Petronas Australia Pty Ltd,Petronas (Malaysian state),Net zero 2050; methane intensity targets,,2050,Net-zero only,https://www.petronas.com/sustainability,Medium,Malaysian state O&G
