Company Name,ASX Code,GICS Sector,GICS Industry,Market Cap Tier,Stated Target Description,Stated Target Year,Stated Net-Zero Year,Target Classification,Source URL,Confidence,Notes
Northern Star Resources,NST,Materials,Metals & Mining,Large,35% absolute S1+S2 reduction by 2030 from FY21; net zero 2050,2030,2050,Quantitative non-validated,https://www.nsrltd.com/sustainability,Medium,Gold miner
Mineral Resources,MIN,Materials,Metals & Mining,Large,Net zero ambition by 2050; interim quantification limited; lithium hydroxide expansion plans,,2050,Aspirational,https://www.mineralresources.com.au/sustainability/,Low,
Pilbara Minerals,PLS,Materials,Metals & Mining,Large,Net zero ops 2050; renewable power for processing; specific S1+S2 targets in development,,2050,Aspirational,https://www.pilbaraminerals.com.au/sustainability,Low,Lithium miner
IGO Limited,IGO,Materials,Metals & Mining,Large,Net zero ops 2030; battery materials focus; renewable power for sites,2030,2030,Quantitative non-validated,https://www.igo.com.au/sustainability,Medium,Nickel/lithium
Whitehaven Coal,WHC,Energy,Oil Gas & Consumable Fuels,Mid,Net zero S1+S2 ambition by 2050; methane reduction targets,,2050,Aspirational,https://whitehavencoal.com.au/sustainability/,Low,Coal pure-play
Yancoal Australia,YAL,Energy,Oil Gas & Consumable Fuels,Mid,Climate strategy under development; limited public quantification,,,No public target,https://www.yancoal.com.au/sustainability,Low,Coal
New Hope Corporation,NHC,Energy,Oil Gas & Consumable Fuels,Mid,Limited public climate disclosure beyond Scope 1+2 inventory,,,No public target,https://www.newhopegroup.com.au/sustainability,Low,Coal
Santos,STO,Energy,Oil Gas & Consumable Fuels,Large,26-30% absolute S1+S2 by 2030 from 2019-20; net zero ops 2040; CCS via Moomba; was SBTi committed,2030,2040,Quantitative non-validated,https://www.santos.com/sustainability/,High,O&G major
Beach Energy,BPT,Energy,Oil Gas & Consumable Fuels,Mid,Net zero ops 2050; methane reduction targets; specific interim S1+S2 in development,,2050,Net-zero only,https://www.beachenergy.com.au/sustainability/,Medium,O&G
Karoon Energy,KAR,Energy,Oil Gas & Consumable Fuels,Mid,Climate ambitions stated; no quantified S1+S2 target,,,Aspirational,https://www.karoonenergy.com.au/sustainability,Low,O&G
Viva Energy Group,VEA,Energy,Oil Gas & Consumable Fuels,Large,Net zero ops S1+S2 by 2050; refining decarbonisation roadmap; renewable diesel and EV charging investments,2030,2050,Quantitative non-validated,https://www.vivaenergy.com.au/sustainability,Medium,Fuels
Ampol,ALD,Energy,Oil Gas & Consumable Fuels,Large,Net zero ops S1+S2 by 2040 (refining and operations); hydrogen and EV charging investments; Future Energy strategy,2030,2040,Quantitative non-validated,https://www.ampol.com.au/sustainability,Medium,Fuels and convenience retailer
Worley,WOR,Energy,Energy Equipment & Services,Large,50% S1+S2 reduction by 2030 from FY20; net zero ops 2030; sustainable solutions revenue target 75% by 2026,2030,2050,Quantitative non-validated,https://www.worley.com/sustainability,Medium,Engineering — sustainability-pivoting
Wesfarmers,WES,Consumer Staples,Food & Staples Retailing,Mega,"Net zero ops S1+S2 by 2030 across most divisions; division-specific targets (Bunnings, Kmart, Officeworks); supplier engagement on Scope 3",2030,2030,Quantitative non-validated,https://www.wesfarmers.com.au/sustainability,High,Diversified — Coles is in SBTi separately
Endeavour Group,EDV,Consumer Staples,Food & Staples Retailing,Large,Net zero ops 2050; 60% S1+S2 reduction by 2030 from FY20; 100% renewable electricity 2030,2030,2050,Quantitative non-validated,https://www.endeavourgroup.com.au/sustainability,Medium,Liquor & gaming
Metcash,MTS,Consumer Staples,Food & Staples Retailing,Mid,Net zero ops S1+S2 by 2030; renewable electricity transition,2030,2050,Quantitative non-validated,https://www.metcash.com/sustainability,Low,Independent grocery
Harvey Norman Holdings,HVN,Consumer Discretionary,Specialty Retail,Mid,Limited public climate disclosure; minimal sustainability framework,,,No public target,https://www.harveynormanholdings.com.au/,Low,Retailer — known laggard
JB Hi-Fi,JBH,Consumer Discretionary,Specialty Retail,Mid,Net zero ops ambition by 2050; emissions inventory established; targets being developed,,2050,Aspirational,https://www.jbhifi.com.au/pages/sustainability,Low,Electronics retail
Super Retail Group,SUL,Consumer Discretionary,Specialty Retail,Mid,Sustainability framework; targets in development; renewable electricity exploration,,,Aspirational,https://www.superretailgroup.com/sustainability,Low,Sport/auto/leisure retail
Treasury Wine Estates,TWE,Consumer Staples,Beverages,Large,SBTi committed (intent letter Dec 2022); 50% S1+S2 by 2030 from 2020; 100% renewable electricity by 2024 (achieved),2030,2050,SBTi committed,https://www.tweglobal.com/sustainability,High,SBTi pending validation
Bega Group,BGA,Consumer Staples,Food Products,Mid,Net zero ops 2030 ambition; 30% S1+S2 by 2030 from FY20,2030,2050,Quantitative non-validated,https://www.begagroup.com.au/sustainability,Medium,Dairy
The a2 Milk Company,A2M,Consumer Staples,Food Products,Mid,Net zero ambition by 2050; SBTi journey begun; ~30% S1+S2 reduction targets in development,,2050,Aspirational,https://thea2milkcompany.com/sustainability,Low,Dual-listed NZX
ResMed,RMD,Health Care,Health Care Equipment,Large,Net zero ops 2030 (achieved Scope 1+2 carbon neutral via PPAs and offsets); SBTi committed globally; supplier engagement,2030,2050,SBTi committed,https://www.resmed.com/en-us/sustainability/,High,US-domiciled but ASX listed
Sonic Healthcare,SHL,Health Care,Health Care Providers,Large,Net zero ops 2050; interim 2030 milestones; renewable electricity transition across pathology labs,2030,2050,Quantitative non-validated,https://www.sonichealthcare.com/sustainability,Medium,Diagnostics
Cochlear,COH,Health Care,Health Care Equipment,Large,Net zero ambition; ~50% S1+S2 reduction by 2030 from FY22; targets in development,2030,2050,Quantitative non-validated,https://www.cochlear.com/au/en/about/sustainability,Low,Hearing implants
Pro Medicus,PME,Health Care,Health Care Technology,Large,Limited public climate disclosure,,,No public target,https://promedicus.com.au/,Low,Medical imaging software
Sigma Healthcare,SIG,Health Care,Health Care Distributors,Mid,Sustainability framework; net zero ambition; targets in development,,2050,Aspirational,https://www.sigmahealthcare.com.au/sustainability,Low,Pharmacy
Healius,HLS,Health Care,Health Care Providers,Mid,Net zero S1+S2 ambition by 2050; 100% renewable electricity transition for pathology sites,,2050,Aspirational,https://www.healius.com.au/about/sustainability/,Low,Diagnostics
Fisher & Paykel Healthcare,FPH,Health Care,Health Care Equipment,Large,Net zero S1+S2 by 2030 (NZ ops); product carbon footprint targets,2030,2050,Quantitative non-validated,https://www.fphcare.com/about-us/sustainability/,Medium,NZ but ASX listed
AGL Energy,AGL,Utilities,Electric Utilities,Large,Coal exit by 2035 (Loy Yang A) — accelerated from 2045; ~78% S1+S2 reduction by FY34-35; net zero by 2050; 5GW+ new renewables,2035,2050,Quantitative non-validated,https://www.agl.com.au/about-agl/how-we-source-energy/sustainability,High,Major emitter — coal generator
APA Group,APA,Utilities,Gas Utilities,Large,Net zero S1+S2 by 2050; methane intensity targets; renewables and electricity transmission expansion,2030,2050,Quantitative non-validated,https://www.apa.com.au/sustainability,Medium,Gas pipelines
Auckland International Airport,AIA,Industrials,Transportation Infrastructure,Mid,Net zero S1+S2 by 2030 (aligned with SBT methodology); 90% S3 reduction ambition by 2050,2030,2050,Quantitative non-validated,https://corporate.aucklandairport.co.nz/about-us/sustainability,Medium,NZ but ASX-listed
Spark New Zealand,SPK,Communication Services,Diversified Telecom,Large,Net zero S1+S2 by 2030; SBTi-style 1.5°C aligned; renewable electricity 100% by 2025,2030,2050,Quantitative non-validated,https://www.sparknz.co.nz/sustainability/,Medium,NZ telco; ASX-listed
GPT Group,GPT,Real Estate,Office REITs,Large,Carbon neutral S1+S2 ops since 2020 (NCOS certified); 24% S3 reduction by 2030; net zero 2050 across embodied,2030,2050,Quantitative non-validated,https://www.gpt.com.au/sustainability,High,REIT — leader
Charter Hall Group,CHC,Real Estate,Real Estate Management,Large,Net zero S1+S2 by 2030 across managed portfolio; embodied carbon and Scope 3 work in progress,2030,2050,Quantitative non-validated,https://www.charterhall.com.au/sustainability,Medium,REIT
Scentre Group,SCG,Real Estate,Retail REITs,Large,Net zero S1+S2 by 2030; S3 by 2050; 100% renewable electricity by 2025,2030,2050,Quantitative non-validated,https://www.scentregroup.com/sustainability,Medium,Westfield landlord
Ingenia Communities,INA,Real Estate,Diversified REITs,Mid,Sustainability framework; net zero ambition; targets in development,,,Aspirational,https://www.ingeniacommunities.com.au/sustainability,Low,Land lease communities
Amcor,AMC,Materials,Containers & Packaging,Large,SBTi-validated 1.5°C aligned (Switzerland-domiciled); 100% recyclable/reusable packaging by 2025; 30% recycled content by 2030,2030,2050,SBTi committed,https://www.amcor.com/sustainability,High,SBTi-validated foreign domicile
BlueScope Steel,BSL,Materials,Metals & Mining,Large,12% S1+S2 emissions intensity reduction by 2030 from FY18; net zero ambition by 2050; hydrogen-direct-reduction pilot at Port Kembla,2030,2050,Quantitative non-validated,https://www.bluescope.com/sustainability/,High,Steel — hard-to-abate
Orica,ORI,Materials,Chemicals,Large,40% absolute S1+S2 reduction by 2030 from 2019; net zero 2050; tertiary catalyst abatement at Kooragang Island,2030,2050,Quantitative non-validated,https://www.orica.com/sustainability,Medium,Mining services chemicals
Incitec Pivot,IPL,Materials,Chemicals,Mid,Net zero ops S1+S2 by 2050; sector pathway development; recently demerged into Dyno Nobel and IPF,,2050,Net-zero only,https://www.incitecpivot.com.au/sustainability,Medium,Fertiliser & explosives
James Hardie Industries,JHX,Materials,Building Products,Large,Net zero S1+S2 by 2050; ~40% intensity reduction by 2030,2030,2050,Quantitative non-validated,https://www.jameshardie.com.au/sustainability,Medium,Fibre cement
Reliance Worldwide,RWC,Industrials,Building Products,Mid,Net zero ambition; carbon neutral ops by 2030 ambition,,2050,Aspirational,https://www.rwc.com/sustainability/,Low,Plumbing products
Adbri,ABC,Materials,Construction Materials,Mid,Net zero ambition; CCS pathways under exploration (recently acquired by CRH),,2050,Aspirational,https://www.adbri.com.au/sustainability/,Low,Cement; CRH ownership
WiseTech Global,WTC,Information Technology,Software,Large,Sustainability framework; net zero ambition; emissions inventory in development,,,Aspirational,https://www.wisetechglobal.com/sustainability,Low,Logistics SaaS
REA Group,REA,Communication Services,Interactive Media,Large,Carbon neutral certified ops; net zero S1+S2 by 2030; 100% renewable electricity,2030,2050,Quantitative non-validated,https://www.rea-group.com/sustainability,Medium,Property classifieds
Carsales (CAR Group),CAR,Communication Services,Interactive Media,Large,Net zero ops ambition; emissions inventory established,,2050,Aspirational,https://www.carsales.com.au/sustainability,Low,Auto classifieds
NEXTDC,NXT,Information Technology,IT Services,Large,Net zero ops ambition; 100% renewable electricity for data centres; PUE targets,2030,2050,Quantitative non-validated,https://www.nextdc.com/sustainability,Medium,Data centres — high power use
TechnologyOne,TNE,Information Technology,Software,Large,Carbon neutral ops; net zero ambition by 2050,2030,2050,Quantitative non-validated,https://www.technologyonecorp.com/about/sustainability,Low,SaaS
News Corp Australia,NWS,Communication Services,Media,Large,Sustainability strategy; carbon neutral ops aim; targets in development,,2050,Aspirational,https://newscorpaustralia.com/sustainability,Low,Media
Nine Entertainment,NEC,Communication Services,Media,Mid,Sustainability framework; targets in development,,,Aspirational,https://www.nineforbrands.com.au/sustainability,Low,Media
Seven West Media,SWM,Communication Services,Media,Mid,Limited public climate disclosure,,,No public target,https://www.sevenwestmedia.com.au/,Low,Media
Qantas Airways,QAN,Industrials,Airlines,Large,Net zero S1+S2 by 2050; 25% S1+S2 reduction by 2030 from 2019; 10% SAF by 2030; offsets-heavy interim,2030,2050,Quantitative non-validated,https://www.qantas.com/au/en/about-us/our-company/in-the-community/sustainability.html,High,Airline — Cat 11 critical
Aurizon Holdings,AZJ,Industrials,Road & Rail,Large,Net zero S1+S2 by 2050; coal-haul book volumes shifting; 100% renewable electricity ambition,,2050,Net-zero only,https://www.aurizon.com.au/sustainability,Medium,Coal-heavy rail freight
Atlas Arteria,ALX,Industrials,Transportation Infrastructure,Large,Net zero ops by 2050; targets developing across European toll road portfolio,,2050,Aspirational,https://www.atlasarteria.com/sustainability,Low,Toll roads
ARN Media,A1N,Communication Services,Media,Mid,Sustainability framework; targets in development,,,Aspirational,https://www.arnmedia.com.au/,Low,Radio media
Lottery Corporation,TLC,Consumer Discretionary,Hotels & Leisure,Large,Net zero S1+S2 by 2030 ambition; 100% renewable electricity,2030,2050,Quantitative non-validated,https://www.thelotterycorporation.com/sustainability,Medium,Lotteries
Tabcorp,TAH,Consumer Discretionary,Hotels & Leisure,Mid,Net zero ops 2030 ambition; emissions inventory established,2030,2050,Aspirational,https://www.tabcorp.com.au/about-us/sustainability,Low,Wagering
